file,angle,side,cut,backR,backG,backB,bbox1,bbox2,bbox3,bbox4
lawsresolutionso1891nort_0272.jpg,0,left,350,229,212,185,427,337,1915,2960
lawsresolutionso1891nort_0374.jpg,0,left,350,228,212,187,446,352,1927,2964
lawsresolutionso1891nort_0542.jpg,0,left,350,228,212,186,472,337,1957,2954
lawsresolutionso1891nort_0606.jpg,0,left,353,227,211,184,459,318,1944,3225
lawsresolutionso1891nort_0771.jpg,0,right,1484,214,198,174,46,345,1530,2510
lawsresolutionso1891nort_0944.jpg,0,left,350,232,215,192,488,326,1974,2945
lawsresolutionso1891nort_1114.jpg,0,left,350,231,215,193,504,327,1989,2947
lawsresolutionso1891nort_1210.jpg,0,left,350,232,217,197,490,296,1976,2909
lawsresolutionso1891nort_1373.jpg,0,right,1478,216,201,178,30,316,1508,2958
lawsresolutionso1891nort_1494.jpg,-0.25,left,358,232,216,195,483,390,1965,3045
