filename,leafNum,handSide,page,sectiontype,sectiontitle,fileUrl
lawsresolutionso1891nort_0272,272,LEFT,226,public laws,Public Laws of the State of North Carolina Session 1891,https://archive.org/download/lawsresolutionso1891nort/lawsresolutionso1891nort_jp2.zip/lawsresolutionso1891nort_jp2%2Flawsresolutionso1891nort_0272.jpg
lawsresolutionso1891nort_0374,374,LEFT,328,public laws,Public Laws of the State of North Carolina Session 1891,https://archive.org/download/lawsresolutionso1891nort/lawsresolutionso1891nort_jp2.zip/lawsresolutionso1891nort_jp2%2Flawsresolutionso1891nort_0374.jpg
lawsresolutionso1891nort_0542,542,LEFT,496,public laws,Public Laws of the State of North Carolina Session 1891,https://archive.org/download/lawsresolutionso1891nort/lawsresolutionso1891nort_jp2.zip/lawsresolutionso1891nort_jp2%2Flawsresolutionso1891nort_0542.jpg
lawsresolutionso1891nort_0606,606,LEFT,558,public laws,Public Laws of the State of North Carolina Session 1891,https://archive.org/download/lawsresolutionso1891nort/lawsresolutionso1891nort_jp2.zip/lawsresolutionso1891nort_jp2%2Flawsresolutionso1891nort_0606.jpg
lawsresolutionso1891nort_0771,771,RIGHT,723,private laws,Private Laws of the State of North Carolina Session 1891,https://archive.org/download/lawsresolutionso1891nort/lawsresolutionso1891nort_jp2.zip/lawsresolutionso1891nort_jp2%2Flawsresolutionso1891nort_0771.jpg
lawsresolutionso1891nort_0944,944,LEFT,896,private laws,Private Laws of the State of North Carolina Session 1891,https://archive.org/download/lawsresolutionso1891nort/lawsresolutionso1891nort_jp2.zip/lawsresolutionso1891nort_jp2%2Flawsresolutionso1891nort_0944.jpg
lawsresolutionso1891nort_1114,1114,LEFT,1066,private laws,Private Laws of the State of North Carolina Session 1891,https://archive.org/download/lawsresolutionso1891nort/lawsresolutionso1891nort_jp2.zip/lawsresolutionso1891nort_jp2%2Flawsresolutionso1891nort_1114.jpg
lawsresolutionso1891nort_1210,1210,LEFT,1162,private laws,Private Laws of the State of North Carolina Session 1891,https://archive.org/download/lawsresolutionso1891nort/lawsresolutionso1891nort_jp2.zip/lawsresolutionso1891nort_jp2%2Flawsresolutionso1891nort_1210.jpg
lawsresolutionso1891nort_1373,1373,RIGHT,1325,private laws,Private Laws of the State of North Carolina Session 1891,https://archive.org/download/lawsresolutionso1891nort/lawsresolutionso1891nort_jp2.zip/lawsresolutionso1891nort_jp2%2Flawsresolutionso1891nort_1373.jpg
lawsresolutionso1891nort_1494,1494,LEFT,1446,private laws,Private Laws of the State of North Carolina Session 1891,https://archive.org/download/lawsresolutionso1891nort/lawsresolutionso1891nort_jp2.zip/lawsresolutionso1891nort_jp2%2Flawsresolutionso1891nort_1494.jpg
